tour;tour_len;related_starting_points
[5, 14, 7, 0, 15, 11, 12, 13, 6, 9, 2, 1, 3, 4, 10, 8];8311;1
[10, 8, 9, 0, 7, 14, 13, 12, 11, 15, 2, 1, 3, 6, 5, 4];7988;6
[1, 3, 14, 4, 10, 8, 9, 11, 0, 7, 13, 5, 6, 12, 15, 2];7851;35
[7, 0, 9, 8, 10, 3, 1, 2, 15, 12, 13, 11, 6, 5, 4, 14];8485;3
[9, 11, 15, 0, 7, 3, 12, 13, 5, 6, 2, 1, 14, 4, 10, 8];8320;4
[13, 15, 2, 1, 3, 4, 10, 8, 0, 7, 12, 11, 9, 6, 5, 14];8498;4
[8, 9, 11, 12, 3, 1, 2, 6, 5, 13, 15, 0, 7, 14, 4, 10];8042;10
[14, 6, 5, 4, 10, 8, 9, 11, 15, 2, 1, 3, 13, 12, 0, 7];7882;1
[14, 7, 0, 12, 13, 6, 5, 10, 8, 9, 11, 15, 2, 1, 3, 4];8183;18
[3, 13, 12, 11, 15, 0, 7, 14, 6, 9, 5, 4, 10, 8, 2, 1];8415;2
[13, 12, 0, 7, 3, 1, 2, 15, 11, 6, 9, 8, 10, 4, 14, 5];7001;203
[11, 0, 7, 3, 14, 13, 12, 15, 1, 2, 9, 8, 10, 4, 5, 6];7990;8
[1, 3, 12, 11, 9, 8, 10, 4, 14, 7, 0, 15, 13, 5, 6, 2];8042;9
[8, 10, 4, 5, 14, 7, 0, 11, 6, 13, 12, 3, 1, 2, 15, 9];7991;2
[12, 11, 0, 7, 3, 1, 2, 15, 6, 5, 9, 8, 10, 4, 14, 13];6972;620
[10, 4, 1, 2, 15, 13, 6, 5, 14, 3, 7, 0, 12, 11, 9, 8];8412;6
[3, 4, 14, 7, 0, 15, 12, 13, 11, 6, 5, 10, 8, 9, 2, 1];8162;12
[0, 11, 6, 5, 12, 13, 14, 4, 10, 8, 9, 15, 2, 1, 3, 7];7009;574
[5, 6, 11, 15, 0, 7, 2, 1, 3, 14, 4, 10, 8, 9, 12, 13];7171;100
[14, 13, 12, 3, 7, 0, 15, 11, 6, 5, 1, 2, 9, 8, 10, 4];8200;5
[5, 6, 11, 13, 12, 15, 2, 1, 3, 7, 0, 9, 8, 10, 4, 14];6939;365
[11, 12, 0, 7, 14, 5, 4, 10, 8, 9, 6, 13, 3, 1, 2, 15];7910;14
[4, 10, 8, 9, 5, 6, 11, 12, 15, 0, 2, 1, 3, 7, 13, 14];7003;141
[13, 12, 11, 6, 5, 9, 8, 10, 4, 14, 15, 2, 1, 3, 7, 0];6956;340
[12, 11, 6, 13, 14, 3, 1, 2, 8, 10, 4, 5, 9, 15, 0, 7];8465;1
[10, 4, 14, 13, 12, 5, 6, 11, 15, 0, 7, 3, 1, 2, 9, 8];7033;547
[8, 10, 4, 14, 3, 7, 0, 9, 6, 5, 13, 12, 11, 15, 1, 2];8372;8
[7, 12, 13, 6, 14, 3, 1, 2, 8, 10, 4, 5, 9, 11, 15, 0];8518;4
[4, 14, 13, 12, 15, 2, 1, 3, 7, 0, 11, 6, 5, 9, 8, 10];6895;583
[0, 15, 12, 13, 11, 9, 8, 10, 4, 14, 5, 6, 7, 3, 1, 2];7128;58
[14, 4, 10, 8, 9, 5, 6, 2, 1, 3, 7, 0, 15, 11, 12, 13];7053;314
[1, 2, 6, 5, 4, 10, 8, 9, 11, 15, 0, 12, 13, 14, 7, 3];8002;1
[12, 13, 3, 1, 2, 8, 10, 4, 14, 7, 0, 15, 9, 5, 6, 11];8192;39
[7, 3, 1, 2, 0, 15, 12, 13, 11, 9, 6, 5, 14, 4, 10, 8];7487;20
[12, 11, 15, 2, 1, 3, 7, 0, 5, 6, 9, 8, 10, 4, 14, 13];6963;355
[2, 1, 3, 7, 0, 6, 5, 14, 4, 10, 8, 9, 11, 13, 12, 15];7025;150
[15, 11, 12, 13, 5, 6, 1, 2, 9, 8, 10, 4, 14, 3, 7, 0];8101;7
[14, 3, 1, 2, 9, 8, 10, 11, 15, 0, 7, 12, 13, 6, 5, 4];8315;4
[11, 12, 13, 3, 1, 2, 15, 9, 8, 10, 4, 5, 6, 14, 7, 0];7841;23
[0, 11, 12, 13, 14, 5, 6, 9, 15, 3, 1, 2, 8, 10, 4, 7];8530;5
[6, 11, 3, 1, 2, 8, 10, 4, 14, 13, 12, 7, 0, 15, 9, 5];8248;40
[7, 0, 12, 13, 5, 6, 9, 11, 3, 1, 2, 15, 8, 10, 4, 14];8230;9
[8, 9, 0, 7, 3, 14, 13, 12, 15, 1, 2, 11, 6, 5, 4, 10];8105;1
[9, 2, 1, 3, 14, 13, 12, 7, 0, 15, 11, 6, 5, 4, 10, 8];7787;65
[2, 15, 13, 14, 7, 0, 9, 8, 10, 4, 5, 6, 11, 12, 3, 1];7930;2
[10, 8, 9, 2, 1, 3, 14, 4, 5, 6, 11, 12, 13, 7, 0, 15];8371;17
[12, 13, 6, 11, 15, 2, 1, 3, 14, 5, 4, 10, 8, 9, 0, 7];7980;11
[10, 4, 5, 6, 2, 1, 3, 7, 14, 13, 12, 0, 15, 11, 9, 8];8002;4
[9, 11, 0, 7, 13, 14, 5, 6, 12, 15, 2, 1, 3, 4, 10, 8];8108;10
[3, 4, 14, 7, 0, 15, 11, 12, 13, 6, 5, 10, 8, 9, 2, 1];8166;3
[5, 8, 10, 4, 3, 1, 2, 15, 9, 6, 11, 12, 13, 0, 7, 14];8257;2
[12, 13, 11, 9, 6, 5, 14, 4, 10, 8, 2, 1, 3, 7, 0, 15];7351;204
[3, 1, 2, 11, 6, 13, 12, 7, 0, 15, 9, 8, 10, 4, 5, 14];8011;7
[15, 9, 6, 11, 12, 13, 14, 5, 8, 10, 4, 3, 1, 2, 7, 0];7604;25
[3, 7, 0, 11, 6, 5, 9, 8, 10, 4, 1, 2, 15, 12, 13, 14];8329;1
[0, 7, 12, 13, 14, 3, 1, 2, 8, 10, 4, 5, 6, 9, 11, 15];8229;18
[11, 3, 1, 2, 15, 8, 10, 4, 7, 0, 12, 13, 14, 5, 6, 9];8511;1
[5, 6, 12, 15, 2, 1, 3, 14, 13, 7, 0, 11, 9, 8, 10, 4];7904;2
[3, 1, 2, 6, 5, 9, 8, 10, 4, 14, 13, 12, 11, 15, 0, 7];7053;322
[11, 9, 6, 5, 14, 4, 10, 8, 2, 1, 3, 7, 0, 15, 12, 13];7351;175
[4, 10, 8, 9, 6, 13, 3, 1, 2, 15, 11, 12, 0, 7, 14, 5];7910;13
[2, 1, 3, 13, 6, 5, 8, 10, 4, 14, 7, 0, 12, 11, 9, 15];8020;5
[7, 0, 15, 2, 1, 3, 4, 10, 8, 9, 6, 11, 12, 13, 5, 14];7437;11
[13, 11, 6, 9, 8, 10, 4, 5, 14, 3, 1, 2, 7, 0, 15, 12];7162;94
[14, 7, 0, 13, 12, 11, 6, 9, 15, 3, 1, 2, 8, 10, 4, 5];8435;1
[14, 0, 7, 3, 1, 2, 15, 12, 13, 11, 6, 5, 9, 8, 10, 4];6903;454
[10, 8, 9, 6, 11, 13, 12, 15, 0, 7, 2, 1, 3, 14, 5, 4];7162;99
[3, 14, 4, 10, 8, 9, 2, 1, 15, 12, 13, 5, 6, 11, 0, 7];7937;26
[4, 5, 6, 12, 15, 2, 1, 3, 14, 13, 7, 0, 11, 9, 8, 10];7904;3
[13, 14, 4, 10, 8, 9, 5, 6, 11, 15, 0, 2, 1, 3, 7, 12];6973;112
[7, 3, 1, 2, 15, 11, 9, 8, 10, 4, 14, 5, 6, 13, 12, 0];6930;781
[4, 10, 8, 9, 15, 0, 7, 13, 14, 5, 6, 11, 12, 2, 1, 3];8084;8
[9, 15, 0, 7, 2, 1, 3, 4, 10, 8, 5, 14, 13, 12, 11, 6];7604;14
[15, 2, 1, 3, 14, 4, 10, 8, 9, 11, 0, 7, 13, 5, 6, 12];7851;34
[11, 6, 5, 4, 10, 8, 9, 0, 7, 3, 1, 2, 15, 14, 13, 12];7138;38
[14, 7, 0, 15, 11, 9, 6, 5, 13, 12, 3, 1, 2, 8, 10, 4];8241;11
[3, 14, 13, 12, 11, 7, 0, 15, 9, 8, 10, 4, 5, 6, 2, 1];7949;17
[7, 3, 1, 2, 0, 15, 9, 8, 10, 4, 14, 5, 6, 11, 12, 13];6951;299
[11, 9, 6, 5, 14, 15, 2, 1, 3, 4, 10, 8, 0, 7, 13, 12];8525;2
[1, 2, 9, 6, 14, 5, 8, 10, 4, 3, 7, 0, 13, 12, 11, 15];8517;1
[2, 9, 8, 10, 4, 3, 7, 0, 11, 6, 5, 14, 13, 12, 15, 1];8194;8
[15, 11, 12, 13, 6, 5, 14, 4, 10, 8, 9, 7, 3, 1, 2, 0];7068;55
[5, 13, 14, 4, 10, 8, 2, 1, 3, 7, 0, 15, 12, 11, 9, 6];7452;55
[12, 11, 15, 0, 7, 3, 14, 4, 10, 8, 9, 2, 1, 6, 5, 13];8101;4
[6, 9, 8, 10, 4, 5, 14, 7, 0, 13, 12, 11, 15, 2, 1, 3];7985;12
[0, 15, 11, 6, 5, 13, 12, 3, 1, 2, 9, 8, 10, 4, 14, 7];7799;148
[1, 3, 7, 4, 10, 8, 9, 11, 15, 0, 12, 13, 14, 5, 6, 2];8230;3
[11, 6, 12, 13, 14, 5, 9, 8, 10, 4, 7, 3, 1, 2, 0, 15];7523;2
[13, 15, 0, 7, 14, 4, 10, 8, 9, 11, 12, 3, 1, 2, 6, 5];8042;15
[1, 3, 4, 10, 8, 9, 11, 0, 7, 12, 6, 5, 14, 13, 15, 2];8126;2
[8, 9, 15, 0, 2, 1, 3, 7, 11, 6, 5, 12, 13, 14, 4, 10];7115;207
[9, 6, 5, 13, 3, 1, 2, 15, 11, 12, 0, 7, 14, 4, 10, 8];7694;55
[15, 8, 10, 4, 14, 13, 11, 9, 6, 5, 12, 0, 7, 3, 1, 2];7470;27
[8, 9, 13, 14, 5, 6, 11, 12, 0, 7, 3, 1, 2, 15, 4, 10];7462;8
[0, 11, 6, 9, 8, 10, 4, 3, 1, 2, 15, 14, 5, 13, 12, 7];8190;4
[8, 10, 4, 3, 1, 2, 11, 6, 5, 14, 13, 12, 7, 0, 15, 9];8052;65
[9, 15, 2, 1, 3, 12, 13, 6, 11, 0, 7, 14, 5, 4, 10, 8];7991;5
[10, 4, 5, 6, 13, 14, 3, 1, 2, 7, 0, 15, 12, 11, 9, 8];7192;61
[9, 8, 10, 4, 14, 13, 12, 0, 7, 3, 1, 2, 15, 11, 6, 5];6875;875
[2, 15, 12, 13, 11, 6, 5, 14, 7, 0, 9, 8, 10, 4, 3, 1];8022;30
[14, 4, 10, 8, 9, 2, 1, 3, 7, 0, 15, 11, 6, 5, 12, 13];7033;551
[0, 15, 9, 8, 10, 4, 14, 13, 5, 6, 11, 12, 2, 1, 3, 7];7073;151
[6, 5, 12, 13, 14, 4, 10, 8, 9, 2, 1, 3, 7, 0, 15, 11];7033;584
[15, 9, 8, 10, 4, 3, 1, 2, 11, 6, 5, 14, 13, 12, 7, 0];8052;73
[0, 2, 1, 3, 7, 4, 10, 8, 9, 11, 12, 13, 14, 5, 6, 15];7442;15
[1, 3, 11, 6, 9, 8, 10, 4, 5, 14, 7, 0, 13, 12, 15, 2];7915;5
[13, 6, 14, 3, 7, 0, 11, 9, 5, 4, 10, 8, 2, 1, 15, 12];8721;1
[2, 12, 13, 6, 11, 7, 0, 15, 9, 8, 10, 4, 5, 14, 3, 1];8041;4
[4, 14, 5, 6, 9, 11, 13, 12, 15, 2, 1, 3, 7, 0, 8, 10];7368;60
[10, 4, 14, 7, 0, 15, 12, 11, 6, 5, 13, 3, 1, 2, 9, 8];7820;112
[5, 6, 11, 2, 1, 3, 4, 10, 8, 9, 15, 0, 7, 12, 13, 14];8052;54
[5, 6, 13, 12, 3, 1, 2, 9, 8, 10, 11, 15, 0, 7, 14, 4];8380;2
[0, 7, 14, 5, 4, 10, 8, 9, 6, 11, 3, 1, 2, 15, 12, 13];7915;4
[12, 11, 6, 5, 14, 4, 10, 8, 9, 15, 0, 2, 1, 3, 7, 13];6951;328
[1, 3, 7, 0, 14, 5, 4, 10, 8, 9, 6, 11, 13, 12, 15, 2];7082;127
[14, 13, 12, 11, 7, 3, 0, 15, 9, 8, 10, 4, 1, 2, 6, 5];8571;1
[15, 0, 13, 12, 11, 9, 6, 5, 14, 7, 2, 1, 3, 4, 10, 8];8508;4
[4, 14, 13, 12, 7, 0, 9, 8, 10, 3, 1, 2, 15, 11, 6, 5];8484;1
[2, 12, 11, 6, 5, 13, 7, 0, 15, 9, 8, 10, 4, 14, 3, 1];7827;26
[1, 3, 7, 4, 10, 8, 9, 13, 14, 5, 6, 11, 12, 15, 0, 2];7475;9
[1, 2, 8, 10, 4, 14, 5, 13, 12, 7, 0, 15, 9, 6, 11, 3];8374;7
[3, 7, 4, 10, 8, 6, 5, 14, 13, 12, 0, 15, 11, 9, 2, 1];8318;1
[9, 6, 5, 14, 13, 15, 0, 7, 4, 10, 8, 2, 1, 3, 12, 11];8570;2
[8, 10, 4, 14, 13, 12, 11, 7, 0, 15, 9, 6, 5, 3, 1, 2];8316;10
[12, 13, 0, 7, 3, 14, 5, 6, 9, 8, 10, 4, 1, 2, 15, 11];8211;19
[11, 6, 5, 10, 8, 9, 15, 2, 1, 3, 4, 14, 7, 0, 13, 12];8112;25
[14, 4, 3, 1, 2, 15, 11, 9, 8, 10, 5, 6, 13, 12, 0, 7];8183;13
[3, 12, 13, 6, 5, 8, 10, 4, 14, 1, 2, 9, 11, 15, 0, 7];8369;3
[9, 8, 10, 4, 5, 14, 3, 1, 2, 15, 12, 13, 6, 11, 7, 0];8008;8
[15, 0, 7, 12, 13, 14, 3, 1, 2, 5, 4, 10, 8, 9, 6, 11];8099;8
[11, 15, 0, 7, 3, 1, 2, 6, 5, 9, 8, 10, 4, 14, 13, 12];7053;309
[8, 9, 0, 7, 12, 11, 15, 2, 1, 3, 13, 6, 5, 14, 4, 10];7794;12
[7, 0, 15, 9, 6, 5, 3, 1, 2, 8, 10, 4, 14, 13, 12, 11];8316;12
[7, 3, 1, 2, 8, 10, 4, 5, 6, 9, 15, 0, 11, 12, 13, 14];8208;3
[11, 7, 3, 1, 2, 9, 8, 10, 4, 14, 0, 15, 12, 13, 5, 6];7809;57
[15, 12, 11, 9, 8, 10, 4, 14, 3, 1, 2, 6, 5, 13, 7, 0];7959;47
[15, 0, 2, 1, 3, 7, 14, 4, 10, 8, 9, 6, 5, 13, 12, 11];6941;382
[13, 12, 15, 2, 1, 3, 4, 10, 8, 9, 5, 14, 7, 0, 11, 6];8141;10
[5, 6, 2, 1, 3, 7, 14, 4, 10, 8, 9, 11, 15, 0, 12, 13];7949;19
[8, 10, 4, 14, 3, 1, 2, 15, 9, 11, 0, 7, 12, 13, 6, 5];7954;6
[9, 11, 12, 15, 0, 7, 13, 6, 5, 8, 10, 4, 14, 3, 1, 2];8008;2
[12, 7, 0, 9, 8, 10, 11, 15, 2, 1, 3, 14, 4, 5, 6, 13];8345;1
[12, 0, 7, 14, 4, 3, 1, 2, 15, 11, 9, 8, 10, 5, 6, 13];8183;10
[2, 1, 3, 13, 12, 11, 6, 14, 7, 0, 15, 9, 5, 4, 10, 8];8497;1
[5, 4, 10, 8, 9, 6, 11, 12, 13, 3, 1, 2, 15, 0, 7, 14];7217;15
[5, 6, 9, 11, 0, 7, 14, 4, 10, 8, 15, 2, 1, 3, 12, 13];8214;4
[5, 9, 8, 10, 4, 14, 15, 2, 1, 3, 7, 0, 13, 12, 11, 6];6956;318
[2, 15, 14, 5, 6, 11, 12, 13, 7, 0, 9, 8, 10, 4, 3, 1];8096;8
[3, 1, 2, 15, 11, 12, 13, 7, 0, 9, 8, 10, 4, 5, 6, 14];7839;31
[11, 9, 8, 10, 4, 14, 3, 1, 2, 7, 0, 15, 6, 5, 13, 12];7170;214
[0, 15, 6, 5, 14, 4, 10, 8, 9, 11, 12, 13, 7, 3, 1, 2];7089;27
[12, 13, 14, 4, 10, 8, 9, 15, 0, 7, 3, 1, 2, 11, 6, 5];7094;251
[2, 1, 3, 7, 0, 12, 5, 6, 9, 11, 13, 14, 4, 10, 8, 15];7470;13
[14, 4, 10, 8, 7, 3, 1, 2, 0, 15, 12, 11, 9, 6, 5, 13];7588;8
[7, 0, 12, 11, 9, 15, 2, 1, 3, 13, 6, 5, 8, 10, 4, 14];8020;6
[9, 6, 5, 12, 13, 14, 4, 10, 8, 0, 7, 3, 1, 2, 15, 11];7492;16
[10, 8, 5, 14, 13, 12, 7, 0, 11, 6, 9, 15, 2, 1, 3, 4];8282;5
[15, 9, 11, 12, 13, 6, 5, 8, 10, 4, 14, 7, 3, 1, 2, 0];7267;14
[11, 7, 0, 9, 8, 10, 4, 3, 1, 2, 15, 12, 13, 14, 5, 6];8049;13
[3, 1, 2, 15, 6, 5, 4, 10, 8, 9, 11, 12, 13, 14, 0, 7];7143;103
[14, 13, 12, 3, 1, 2, 15, 9, 6, 11, 0, 7, 4, 10, 8, 5];8371;1
[7, 13, 14, 3, 1, 2, 9, 8, 10, 4, 5, 6, 11, 12, 15, 0];7817;28
[10, 4, 14, 3, 7, 0, 9, 6, 5, 13, 12, 11, 15, 1, 2, 8];8372;3
[11, 15, 2, 1, 3, 7, 0, 9, 8, 10, 4, 14, 13, 12, 5, 6];7063;325
[2, 1, 3, 10, 8, 9, 0, 7, 12, 11, 6, 5, 4, 14, 13, 15];8532;1
[4, 14, 15, 2, 1, 3, 7, 0, 11, 12, 13, 5, 6, 9, 8, 10];6949;523
[3, 12, 11, 6, 5, 14, 13, 15, 0, 7, 4, 10, 8, 9, 2, 1];8128;7
[15, 12, 13, 7, 0, 11, 9, 8, 10, 4, 14, 5, 6, 3, 1, 2];7870;6
[14, 7, 0, 15, 2, 1, 3, 4, 10, 8, 9, 6, 11, 12, 13, 5];7437;16
[1, 3, 12, 13, 14, 5, 6, 11, 15, 0, 7, 4, 10, 8, 9, 2];8080;10
[8, 2, 1, 3, 7, 0, 15, 14, 13, 12, 11, 9, 6, 5, 4, 10];7550;34
[9, 8, 10, 4, 14, 1, 2, 6, 5, 13, 12, 3, 7, 0, 15, 11];8320;6
[5, 14, 4, 10, 8, 9, 11, 15, 0, 2, 1, 3, 7, 12, 13, 6];7028;219
[5, 8, 10, 4, 14, 3, 1, 2, 9, 11, 12, 15, 0, 7, 13, 6];8008;5
[1, 3, 13, 12, 0, 7, 14, 4, 10, 8, 9, 5, 6, 11, 15, 2];7685;45
[1, 2, 15, 9, 8, 10, 4, 14, 13, 12, 5, 6, 11, 0, 7, 3];7009;616
[7, 0, 15, 12, 13, 11, 9, 8, 10, 5, 6, 2, 1, 3, 4, 14];8357;4
[2, 1, 3, 12, 13, 6, 11, 0, 7, 14, 5, 4, 10, 8, 9, 15];7991;3
[5, 4, 10, 8, 2, 1, 3, 7, 14, 6, 13, 12, 0, 15, 11, 9];8538;2
[8, 10, 4, 5, 6, 13, 12, 11, 15, 0, 7, 2, 1, 3, 14, 9];7307;4
[0, 11, 9, 6, 13, 12, 3, 1, 2, 15, 8, 10, 4, 5, 14, 7];8430;3
[7, 3, 14, 5, 6, 11, 13, 12, 15, 2, 1, 4, 10, 8, 9, 0];8373;3
[15, 3, 1, 2, 8, 10, 4, 14, 7, 0, 11, 12, 13, 5, 6, 9];8249;26
[9, 8, 10, 4, 14, 5, 6, 11, 13, 12, 15, 0, 7, 3, 1, 2];6909;776
[10, 4, 3, 7, 0, 11, 9, 6, 5, 14, 13, 12, 15, 1, 2, 8];8636;1
[12, 15, 2, 1, 3, 4, 14, 7, 0, 11, 9, 8, 10, 5, 6, 13];8203;4
[3, 1, 2, 0, 15, 12, 13, 14, 4, 10, 8, 9, 5, 6, 11, 7];7001;165
[3, 14, 13, 12, 7, 0, 11, 6, 5, 4, 10, 8, 9, 15, 2, 1];7763;51
[1, 2, 0, 15, 12, 11, 6, 5, 9, 8, 10, 4, 14, 13, 7, 3];7003;154
[12, 15, 1, 2, 8, 10, 4, 3, 7, 0, 11, 9, 6, 5, 14, 13];8636;2
[4, 10, 8, 15, 0, 2, 1, 3, 7, 13, 12, 11, 9, 6, 5, 14];7390;36
[12, 13, 5, 14, 4, 10, 8, 9, 6, 2, 1, 3, 7, 0, 15, 11];7179;43
[14, 7, 0, 12, 13, 5, 6, 9, 11, 3, 1, 2, 15, 8, 10, 4];8230;16
[9, 8, 10, 4, 3, 1, 2, 15, 12, 13, 14, 5, 6, 11, 7, 0];8049;16
[14, 5, 6, 15, 2, 1, 3, 4, 10, 8, 9, 11, 12, 13, 0, 7];8080;62
[7, 14, 5, 8, 10, 4, 3, 1, 2, 15, 9, 6, 11, 12, 13, 0];8257;9
[9, 15, 0, 2, 1, 3, 7, 6, 5, 8, 10, 4, 14, 13, 12, 11];7366;8
[7, 3, 1, 2, 8, 10, 4, 14, 5, 6, 9, 11, 13, 12, 15, 0];7351;183
[2, 8, 10, 4, 5, 14, 3, 7, 0, 12, 13, 6, 9, 11, 15, 1];8575;1
[1, 2, 15, 5, 4, 10, 8, 9, 0, 7, 11, 6, 12, 13, 14, 3];8227;1
[3, 1, 2, 0, 15, 8, 10, 4, 14, 13, 5, 6, 9, 11, 12, 7];7503;14
[8, 10, 4, 5, 14, 7, 0, 13, 12, 11, 6, 9, 15, 3, 1, 2];8435;5
[7, 12, 13, 14, 3, 1, 2, 15, 11, 6, 5, 4, 10, 8, 9, 0];7817;40
[2, 9, 8, 10, 11, 15, 0, 12, 13, 6, 5, 4, 14, 7, 3, 1];8335;3
[15, 9, 6, 5, 4, 10, 8, 2, 1, 3, 14, 13, 12, 11, 7, 0];8196;11
[8, 9, 11, 12, 15, 2, 1, 3, 4, 14, 7, 0, 13, 6, 5, 10];8219;5
[12, 6, 5, 14, 13, 0, 7, 3, 1, 2, 15, 4, 10, 8, 9, 11];7438;16
[8, 9, 2, 1, 3, 13, 6, 11, 12, 15, 0, 7, 14, 5, 4, 10];8036;5
[4, 10, 8, 9, 5, 6, 11, 2, 1, 15, 12, 13, 0, 7, 3, 14];7923;4
[12, 11, 6, 5, 4, 10, 8, 9, 13, 14, 3, 1, 2, 7, 0, 15];7256;30
[12, 13, 3, 1, 2, 9, 8, 10, 4, 5, 6, 14, 7, 0, 15, 11];7865;28
[0, 15, 6, 5, 4, 10, 8, 9, 11, 12, 13, 14, 3, 1, 2, 7];7223;41
[10, 8, 15, 2, 1, 3, 14, 6, 13, 12, 7, 0, 11, 9, 5, 4];8491;1
[0, 15, 11, 6, 5, 14, 13, 12, 9, 8, 10, 4, 7, 3, 1, 2];7443;35
[4, 10, 8, 9, 7, 3, 1, 2, 0, 15, 11, 12, 13, 6, 5, 14];7068;61
[14, 13, 12, 7, 0, 11, 6, 5, 4, 10, 8, 9, 15, 2, 1, 3];7763;51
[10, 8, 9, 11, 13, 12, 15, 0, 7, 3, 1, 2, 6, 5, 14, 4];7104;97
[7, 0, 14, 4, 10, 8, 9, 6, 5, 13, 12, 11, 15, 2, 1, 3];6870;380
[4, 10, 8, 9, 11, 0, 7, 13, 5, 6, 12, 15, 2, 1, 3, 14];7851;33
[5, 14, 4, 10, 8, 9, 0, 7, 3, 1, 2, 15, 12, 13, 11, 6];6939;373
[13, 9, 8, 10, 4, 3, 1, 2, 7, 0, 15, 12, 11, 6, 5, 14];7460;39
[11, 6, 5, 9, 8, 10, 4, 14, 7, 3, 1, 2, 0, 15, 12, 13];6974;379
[0, 9, 8, 10, 4, 3, 1, 2, 15, 12, 11, 6, 5, 14, 13, 7];8051;24
[6, 15, 2, 1, 4, 10, 8, 9, 11, 12, 13, 0, 7, 3, 14, 5];8431;3
[3, 1, 2, 12, 13, 14, 5, 6, 11, 7, 0, 15, 9, 8, 10, 4];8082;9
[6, 5, 4, 14, 13, 12, 15, 2, 1, 3, 10, 8, 9, 0, 7, 11];8512;1
[3, 1, 2, 8, 10, 4, 14, 13, 12, 5, 6, 9, 11, 15, 0, 7];7475;27
[15, 1, 2, 9, 11, 0, 7, 3, 14, 4, 10, 8, 5, 6, 13, 12];8181;5
[10, 4, 0, 7, 3, 1, 2, 15, 6, 5, 14, 13, 12, 11, 9, 8];7373;28
[7, 0, 15, 14, 13, 12, 11, 6, 5, 4, 10, 8, 9, 2, 1, 3];7108;78
[0, 7, 2, 1, 3, 14, 13, 6, 5, 4, 10, 8, 9, 11, 12, 15];7192;72
[7, 12, 13, 14, 4, 10, 8, 5, 6, 3, 1, 2, 15, 9, 11, 0];8120;3
[13, 12, 6, 11, 15, 0, 2, 1, 3, 7, 4, 10, 8, 9, 5, 14];7523;4
[0, 15, 12, 13, 11, 6, 5, 9, 8, 10, 4, 14, 3, 1, 2, 7];6983;272
[6, 11, 15, 0, 7, 3, 12, 13, 14, 4, 10, 8, 9, 2, 1, 5];8200;10
[12, 15, 0, 2, 1, 3, 7, 13, 14, 4, 10, 8, 9, 5, 6, 11];7003;154
[7, 3, 1, 2, 0, 15, 11, 12, 13, 6, 9, 8, 10, 4, 5, 14];7157;20
[0, 15, 12, 11, 6, 5, 4, 10, 8, 9, 13, 14, 3, 1, 2, 7];7256;28
[3, 1, 2, 15, 11, 6, 5, 4, 14, 13, 12, 7, 0, 9, 8, 10];8484;3
[3, 7, 0, 15, 4, 10, 8, 9, 11, 12, 13, 14, 5, 6, 2, 1];7530;2
[13, 12, 11, 15, 0, 7, 14, 6, 5, 4, 10, 8, 9, 2, 1, 3];7865;29
[8, 2, 1, 3, 14, 6, 11, 12, 13, 7, 0, 15, 9, 5, 4, 10];8441;6
